alpha1,alpha3,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.001,0.0,0.036116655924973845,0.036207716367670104,0.0745649322009373,856.524866260687,1192.9650659092451,336.44019964855806
-0.001,0.01,0.042862004118567824,0.042974757558088286,0.07450270759435847,1213.404888300773,1415.9242732163932,202.51938491562026
-0.001,0.02,0.04282393668969895,0.03971519814233062,0.07443975569595052,1208.893147490161,1308.5289193153528,99.63577182519181
-0.001,0.03,0.04581580819893295,0.05376211563640179,0.07437612395868666,1204.4755591494163,1771.344129310179,566.8685701607626
-0.001,0.04,0.045775133132907514,0.04589904781850391,0.07431176851500312,1200.1373071342903,1512.2732417022785,312.1359345679881
-0.001,0.05,0.04573419734254517,0.045858603442445606,0.07424671841353216,1195.8672147878262,1510.9406879653866,315.0734731775601
0.0,-0.05,0.02378729634104826,0.023835897110284353,0.07287531649579321,367.22910103081,785.3406792748281,418.111578244018
0.0,-0.04,0.04893184459328676,0.04905923649535648,0.07281702233765723,1346.1622727276877,1616.3945470860472,270.23227435835946
0.0,-0.03,0.02825815083226616,0.028322874885380333,0.07275809499048314,556.4994569134271,933.1767836799162,376.677326766489
0.0,-0.02,0.028234488004721288,0.028299865507857545,0.07269840869109875,559.5841969246926,932.4186750134023,372.8344780887097
0.0,-0.01,0.04880934943985644,0.048939128514993886,0.07263788824625755,1327.7964455302658,1612.4372518163177,284.6408062860519
0.0,0.0,0.036116655924973845,0.036207716367670104,0.07257654574512963,856.524866260687,1192.9650659092451,336.44019964855806
0.0,0.01,0.042862004118567824,0.042974757558088286,0.07251439277347554,1102.5803730101197,1415.9242732163932,313.34390020627364
0.0,0.02,0.0395646317301298,0.05120129898822598,0.07245150525892503,980.8513077295642,1686.970821409426,706.1195136798618
0.0,0.03,0.051241097922506036,0.051382287977545384,0.07238787607320049,409.0429571604576,1692.9340127739351,1283.8910556134774
0.0,0.04,0.05119698204107433,0.04604038150645232,0.07232349156223572,1390.678278566783,1516.9298776150893,126.25159904830622
0.0,0.05,0.039456628436110495,0.03956103107193935,0.07225842300757807,972.9479005775579,1303.449451518412,330.5015509408539
0.001,-0.05,0.02378729634104826,0.023835897110284353,0.07073679808066316,367.22910103081,785.3406792748281,418.111578244018
0.001,-0.04,0.04893184459328676,0.04905923649535648,0.07067898440505005,1346.1622727276877,1616.3945470860472,270.23227435835946
0.001,-0.03,0.02825815083226616,0.028322874885380333,0.07062056441936646,556.4994569134271,933.1767836799162,376.677326766489
0.001,-0.02,0.028234488004721288,0.028299865507857545,0.07056131526370477,559.5841969246926,932.4186750134023,372.8344780887097
0.001,-0.01,0.04880934943985644,0.048939128514993886,0.0705011434410985,1327.7964455302658,1612.4372518163177,284.6408062860519
0.001,0.0,0.036116655924973845,0.036207716367670104,0.07044012178986153,856.524866260687,1192.9650659092451,336.44019964855806
0.001,0.01,0.042862004118567824,0.042974757558088286,0.07037823329014327,1102.5803730101197,1415.9242732163932,313.34390020627364
0.001,0.02,0.0395646317301298,0.05120129898822598,0.07031558116289839,980.8513077295642,1686.970821409426,706.1195136798618
0.001,0.03,0.051241097922506036,0.051382287977545384,0.07025215140781105,409.0429571604576,1692.9340127739351,1283.8910556134774
0.001,0.04,0.05119698204107433,0.04604038150645232,0.07018789698366856,1390.678278566783,1516.9298776150893,126.25159904830622
0.001,0.05,0.039456628436110495,0.03956103107193935,0.07012293694194396,972.9479005775579,1303.449451518412,330.5015509408539
0.002,-0.05,0.02378729634104826,0.023835897110284353,0.06843189223355897,367.22910103081,785.3406792748281,418.111578244018
0.002,-0.04,0.04893184459328676,0.04905923649535648,0.06837485649702055,1346.1622727276877,1616.3945470860472,270.23227435835946
0.002,-0.03,0.02825815083226616,0.028322874885380333,0.06831717748505821,556.4994569134271,933.1767836799162,376.677326766489
0.002,-0.02,0.028234488004721288,0.028299865507857545,0.06825859746817237,559.5841969246926,932.4186750134023,372.8344780887097
0.002,-0.01,0.04880934943985644,0.048939128514993886,0.06819905501773202,1327.7964455302658,1612.4372518163177,284.6408062860519
0.002,0.0,0.036116655924973845,0.036207716367670104,0.0681385603604649,856.524866260687,1192.9650659092451,336.44019964855806
0.002,0.01,0.042862004118567824,0.042974757558088286,0.06807715821928959,1102.5803730101197,1415.9242732163932,313.34390020627364
0.002,0.02,0.0395646317301298,0.05120129898822598,0.06801493616322088,980.8513077295642,1686.970821409426,706.1195136798618
0.002,0.03,0.051241097922506036,0.051382287977545384,0.06795188596272832,409.0429571604576,1692.9340127739351,1283.8910556134774
0.002,0.04,0.05119698204107433,0.04604038150645232,0.06788802365901979,1390.678278566783,1516.9298776150893,126.25159904830622
