alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.003,-0.03,29,0.09191195094417433,0.12028476283294832,0.07982548432653046,0.11143998274544732
-0.003,-0.03,30,0.10347514048114662,0.14038854732334183,0.08464408120857476,0.11380758474033985
-0.003,-0.02,1,0.0012024118677876003,0.018175985340643037,-0.0016119475556586923,1.9444019386073857e-5
-0.003,-0.02,2,0.005253193907376086,0.018074829957900974,-0.002159836382695989,-0.003628047446808362
-0.003,-0.02,3,0.008322677099205828,0.018047418833583868,-0.003802357045879357,-0.009781149117063138
-0.003,-0.02,4,0.010643526258550192,0.018005024597647953,-0.0029279791053400616,0.0007957307527190494
-0.003,-0.02,5,0.01236072438846355,0.017816056690255683,-0.0002776824049067208,0.008904643438812497
-0.003,-0.02,6,0.013645993218279907,0.01773755737995847,-0.0009811304996678331,-0.0018127599892611567
-0.003,-0.02,7,0.014628028597606927,0.017762401677831285,-0.0008042557437489253,-9.122812402837229e-5
-0.003,-0.02,8,0.015405500686296699,0.01789449446467826,0.0001255306201194985,0.003686639722311078
-0.003,-0.02,9,0.016056953501770357,0.018148894878027667,-0.0017639264112091874,-0.00762689110394796
-0.003,-0.02,10,0.01664878800658083,0.018553758475333772,-0.00034929899827838146,0.006066943704524169
-0.003,-0.02,11,0.017242009501094568,0.019153193620848035,0.000779977788634285,0.005894351184784294
-0.003,-0.02,12,0.01789857399695895,0.0200123581224508,0.003974346345024528,0.014782916764164999
-0.003,-0.02,13,0.018687832855842773,0.02122423523299447,0.007972203469334235,0.021433118692904915
-0.003,-0.02,14,0.01969388105331024,0.02291986616093006,0.01024571488857211,0.01942619768696443
-0.003,-0.02,15,0.021024538673201067,0.025282531145019042,0.011421334661787616,0.018201524821749165
-0.003,-0.02,16,0.02282289150044688,0.028567429306713084,0.015365272857791898,0.027172973005234913
-0.003,-0.02,17,0.025221584022949925,0.032874547802478525,0.019757643642576157,0.0363866628900798
-0.003,-0.02,18,0.028317846095944847,0.03818926873297706,0.02607724319907534,0.046058111709083326
-0.003,-0.02,19,0.03168946169717797,0.04244317307305998,0.032067985928988324,0.054448325080729255
-0.003,-0.02,20,0.03544059691344775,0.047407624030182435,0.03175296343224757,0.04047125673083545
-0.003,-0.02,21,0.03962048791682561,0.052958066276135474,0.036493846558845626,0.04982503812886209
-0.003,-0.02,22,0.04432750375911527,0.059348761093148926,0.0397829161469858,0.05783672526985862
-0.003,-0.02,23,0.04947822300765727,0.06592036651664047,0.0451193176028545,0.06457259233733582
-0.003,-0.02,24,0.05543333215660892,0.07444102295069098,0.05000662439262597,0.07386739767118075
-0.003,-0.02,25,0.061994147136931015,0.08294010644445297,0.055842910580694044,0.07009395755647525
-0.003,-0.02,26,0.06861717088011712,0.08978055199342765,0.05955152251330182,0.07558314835568365
