delta,time,model_stock,model_effort,real_stock,real_effort,adj_cost,linear_cost,q_cost
0.1,26,0.07571132622222888,0.07672983608005572,0.07203298249794736,0.07555623429454736,2.525433962724858,-0.0002200891938046966,0.09694866263308066
0.1,27,0.08385705771495729,0.08491887848756864,0.08384849511312348,0.09553719961518657,2.5488385265422195,-0.00024401726246528306,0.09810754465538386
0.1,28,0.09288102501624529,0.09404917063375798,0.09363410455000698,0.10347070667938538,2.5684462176410574,-0.0002677007181907552,0.09899618636702125
0.1,29,0.10297396491377189,0.10427066489763494,0.10051007048269535,0.1114691548235635,2.6155080981347854,-0.0002973164808155288,0.1018058610522271
0.1,30,0.11488356165762482,0.1163936440864196,0.10449742379252559,0.11396370432948526,2.6527064360511967,-0.0003214597763106722,0.1035955843276612
0.1,31,0.12461503024083886,0.125892426487816,0.11330503034964279,0.1290830827750107,2.6918565012507525,-0.00034867047261494087,0.10500267762272009
0.1,32,0.1325663696976272,0.13365354594422305,0.12062000095005083,0.1412570465447185,2.718035530751251,-0.0003709115673072534,0.1059998290584581
0.1,33,0.13906297814585136,0.13999467658581774,0.11425975930320448,0.1193512261818309,2.735546153156313,-0.00038908794339562967,0.10671261035192835
0.1,34,0.14437083604628387,0.14517546703682507,0.1105658836433257,0.11299083983141193,2.747263057536743,-0.0004039410612286275,0.1072268753221495
0.1,35,0.14870735898629825,0.14940815243657282,0.12519367236989581,0.13890670062927293,2.755106722937647,-0.00041607768062666657,0.10760154662220543
0.1,36,0.15225023390175793,0.1528661788838756,0.126718830829864,0.13468309326821862,2.7603604194568563,-0.00042599412994508596,0.10787726806352092
0.1,37,0.15514467487353148,0.15569129253423067,0.13423983475662069,0.14072512723881314,2.7638817165228824,-0.00043409624174615773,0.10808223462575627
0.1,38,0.1575093140621636,0.15799928562175614,0.12407830506550178,0.11496396449484836,2.766243708754734,-0.0004407157970034455,0.10823613084938703
0.1,39,0.15944112056653606,0.15988481257196877,0.12195816397765424,0.12139671427935732,2.7678296276440673,-0.0004461239135577439,0.10835280454002848
0.1,40,0.16101930038173787,0.16142518082012872,0.11519335621157645,0.11278313806108277,2.768895705499482,-0.0004505422448706638,0.10844207475704876
0.1,41,0.1623085715303234,0.16268355979189025,0.10331815408836566,0.11273582681209773,2.769613347600427,-0.00045415186808480637,0.1085109648515116
0.1,42,0.16336182932217405,0.16371158106715536,0.09184829404332437,0.10066584975621005,2.770097251898777,-0.000457100755864003,0.10856454611345112
0.1,43,0.1642222597558189,0.16455139248459102,0.11324065566059521,0.12505421326364685,2.7704242169422026,-0.00045950985979544316,0.10860651722097969
0.1,44,0.16492515186147455,0.16523743882552713,0.11608886015775406,0.12975129622529083,2.7706456770762538,-0.0004614779368340518,0.10863960119825253
0.1,45,0.16549935032941632,0.16579787584616346,0.12380661494510622,0.13098197798692954,2.77079609858428,-0.00046308569049472955,0.10866582390839176
0.1,46,0.16596840510750238,0.1662556872955547,0.11417152018983967,0.12273188737133137,2.7708986376577043,-0.0004643990886086909,0.10868670917681647
0.1,47,0.16635155881183633,0.16662965524987097,0.11946604800659733,0.10946933506001344,2.7709688126526975,-0.00046547199282148276,0.10870341179489108
0.1,48,0.16666450690777296,0.16693509577008395,0.12027263800930206,0.12349621869958492,2.7710170515482293,-0.00046634841389878043,0.10871681595205883
0.1,49,0.16692010079609684,0.16718455628956702,0.10885241805942035,0.11161976058475545,2.771050448450129,-0.00046706425017587725,0.10872760587975326
0.1,50,0.1671287957396642,0.16738823563725722,0.1220432415496862,0.12295338565712906,2.7710736809739376,-0.0004676488973457342,0.10873631168861941
0.1,51,0.16729914830907144,0.1675544874363429,0.11216530513967442,0.10329371935042267,2.7710900091355377,-0.0004681262685905669,0.10874335053994234
0.1,52,0.16743888695208414,0.16769095536170112,0.1329326949577061,0.1371320883313586,2.7711016388808054,-0.0004685159359782266,0.10874905165605821
0.2,1,-0.002815478470189117,-0.0017429239512740595,0.00105117880929632,-9.268560156718652e-5,0.5541571204466269,2.0280181224899405e-5,0.04118787159203557
0.2,2,0.0007150409147490751,0.0016150477091219086,-0.0013152766353371746,-0.003722888986393038,1.1166505963570301,-3.892736049385979e-6,0.056626802238493215
0.2,3,0.0036317080850644667,0.004389211611994995,-0.0052032074876604,-0.009712280266911351,1.4826711184672394,-1.210112962219332e-5,0.06661880691252281
0.2,4,0.006048512155087568,0.006688108022498604,-0.002469060087256786,0.0009656708145117902,1.7215915928909664,-1.9506202456589907e-5,0.07314154812072064
0.2,5,0.008057233900910158,0.008599437237934127,0.003149412806770551,0.008858172135269037,1.8771140990331772,-2.5376231039288716e-5,0.07736738709284502
0.2,6,0.009751786894357413,0.010218674863056672,0.0007196810000091569,-0.0016985432484186603,1.9785289167579179,-3.0178171527577814e-5,0.08012033083073654
0.2,7,0.01121490737789977,0.011626343102313719,0.0008649493199744635,0.0002646009479329489,2.044685980517494,-3.415626797332742e-5,0.08191595967907905
0.2,8,0.012517549579362488,0.012890780913909463,0.0022214235508583027,0.003785284879187656,2.08760904182414,-4.067311150654641e-5,0.08307225728498219
0.2,9,0.013722831888684246,0.01407335074593538,-0.0024123994844817967,-0.007625927758318684,2.114858689667816,-4.670566733184285e-5,0.08377107884964674
0.2,10,0.014889350001084888,0.0152316559114822,0.0017283236483498108,0.0062492828059905895,2.1333438392262813,-4.937499319736804e-5,0.0842754869437648
0.2,11,0.016074201574475585,0.016422525110215778,0.0035297768797967473,0.005886080682446792,2.14551680162025,-5.1944718348851014e-5,0.08460910379964912
0.2,12,0.017335889477184774,0.01770490286866173,0.009019408909841101,0.014808833039055419,2.1536336754740923,-5.454439428611496e-5,0.08483321883890385
0.2,13,0.018737285060842105,0.019142838586994646,0.015427098913568747,0.02116795826780387,2.1592024777497048,-5.730554143682102e-5,0.08498899243734176
0.2,14,0.02034878548382698,0.020808700042589227,0.017152341946225547,0.019471811377116004,2.1632546998351376,-6.036655050044731e-5,0.08510444323287904
0.2,15,0.022251900194400643,0.022786873679994348,0.01753468448839314,0.01840149627865301,2.166550555965165,-6.388307161336966e-5,0.08520062807996294
0.2,16,0.024543409253765615,0.02517807221027428,0.02290863482972305,0.026884571751505378,2.169712910375654,-6.803409405616552e-5,0.0852949161152361
0.2,17,0.027307270881271332,0.028063147365798364,0.029243031805064473,0.036387715255927974,2.1733470115161153,-7.303178274689502e-5,0.0854043872507903
0.2,18,0.030646822414236035,0.03155040266285748,0.038262336594180296,0.04599948419346073,2.178723683740779,-8.10987731112727e-5,0.08560587877649771
0.2,19,0.0343762364521707,0.03538150125447618,0.04608773739149015,0.05436415512454066,2.190770036741536,-9.167874707548706e-5,0.0862359130731552
0.2,20,0.038528689452865784,0.03964440861934777,0.04162562282149984,0.04015622432651138,2.199710480826919,-0.00010379081947640498,0.0866217720334891
0.2,21,0.043146506198705026,0.044383784769548004,0.04656917930017382,0.04945758684026005,2.2089958549183244,-0.0001227270401026417,0.08702815539659459
0.2,22,0.04829518298994005,0.04967099334854673,0.05163051227270508,0.05769531935054441,2.2173354801398144,-0.00013289970018076508,0.08729866656633582
0.2,23,0.05395080386292621,0.05545973489164868,0.05813504759483227,0.06459730045776037,2.235851495498747,-0.0001610911600732107,0.08833897028860237
0.2,24,0.06030347811098038,0.06199384121150341,0.06488819664339028,0.07395444440404267,2.2469367073734574,-0.00017360309020661704,0.08872029101900711
0.2,25,0.06725679935470304,0.06910515990870882,0.06865168831882774,0.07019033842802969,2.2620797662752534,-0.0001909128723939112,0.08931540418385442
0.2,26,0.07453804231779812,0.0764765680491137,0.07203298249794736,0.07555623429454736,2.2819926341882315,-0.00020772727928677152,0.0901765291052471
0.2,27,0.08211226704349424,0.08413252803377527,0.08384849511312348,0.09553719961518657,2.3024315165053237,-0.00023157244972150142,0.09110927341966074
0.2,28,0.09039621405439925,0.0926031611554319,0.09363410455000698,0.10347070667938538,2.331551376899982,-0.00025772415854196143,0.09270298489852143
0.2,29,0.09951957523229996,0.10194651944218522,0.10051007048269535,0.1114691548235635,2.35462846239492,-0.00027823343842150154,0.09366526430586163
0.2,30,0.1100242961091576,0.11280815953817827,0.10449742379252559,0.11396370432948526,2.4184428393646185,-0.00034491598777667756,0.09782902729548677
0.2,31,0.11883735676087324,0.12120796584155971,0.11330503034964279,0.1290830827750107,2.4539597433862075,-0.00036946274551540314,0.09913623705764563
0.2,32,0.12623079302725534,0.12825457640269972,0.12062000095005083,0.1412570465447185,2.4789997931988976,-0.0003900257347875915,0.10010692791356196
0.2,33,0.13243302126642614,0.1341657713662573,0.11425975930320448,0.1193512261818309,2.496661057338777,-0.00040725604581578323,0.10083266991114939
0.2,34,0.1376357849842193,0.13912434396025328,0.1105658836433257,0.11299083983141193,2.5091237020424377,-0.0004216966277866794,0.10137917201787057
0.2,35,0.14199998056189403,0.14328365792823486,0.12519367236989581,0.13890670062927293,2.5179225490278174,-0.0004338009546902682,0.10179376857381438
0.2,36,0.14566068686046202,0.14677248629509426,0.126718830829864,0.13468309326821862,2.5241384404878633,-0.00044394807227332486,0.10211069565022303
0.2,37,0.14873123701147684,0.14969884949654572,0.13423983475662069,0.14072512723881314,2.5285326987068855,-0.0004524552356009527,0.10235482762976841
0.2,38,0.15130672041950508,0.15215337942336565,0.12407830506550178,0.11496396449484836,2.531641692495476,-0.00045958798553800517,0.10254432365556285
0.2,39,0.15346692088115504,0.15421212009693783,0.12195816397765424,0.12139671427935732,2.533843373848184,-0.0004655686896153018,0.10269251139660775
0.2,40,0.1552787805235081,0.15593887586456145,0.11519335621157645,0.11278313806108277,2.535404284561245,-0.00047058363483148816,0.1028092345949196
0.2,41,0.15679845081368102,0.157387161485873,0.10331815408836566,0.11273582681209773,2.5365123543820793,-0.0004747889280431136,0.10290180692360215
0.2,42,0.1580730323294104,0.15860186597982925,0.09184829404332437,0.10066584975621005,2.5373001569823477,-0.00047831537950076023,0.10297569948533312
