alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.4,5,0.0031630966715399406,0.003372563838798109,-0.0004241936503177976,0.008858172135269037
0.0,0.4,6,0.0032886311820346384,0.003372675133172443,-0.0008805975094047114,-0.0016985432484186603
0.0,0.4,7,0.0033390148879129614,0.0033730086761550914,-0.0007044026615629702,0.0002646009479329489
0.0,0.4,8,0.0033596739998357356,0.00337387203945378,-3.8528964281105507e-7,0.003785284879187656
0.0,0.4,9,0.0033692615306206005,0.003376088096683371,-0.001740846892040797,-0.007625927758318684
0.0,0.4,10,0.003376469943071723,0.0033817176327450077,5.830181967299091e-5,0.0062492828059905895
0.0,0.4,11,0.003387892260710021,0.0033959606330830933,0.0016259929065206933,0.005886080682446792
0.0,0.4,12,0.0034141243961166357,0.0034320921898944624,0.004640824551245448,0.014808833039055419
0.0,0.4,13,0.0034795290057643767,0.003523677129790904,0.008972111104271012,0.02116795826780387
0.0,0.4,14,0.003644804783812825,0.0037556988195331237,0.011285420261248135,0.019471811377116004
0.0,0.4,15,0.00406346411043426,0.004343698811800861,0.012657657646112168,0.01840149627865301
0.0,0.4,16,0.005124326841664276,0.005833757125457948,0.01670039605041537,0.026884571751505378
0.0,0.4,17,0.007314153414107419,0.008778414325979762,0.021012549886919404,0.036387715255927974
0.0,0.4,18,0.011337359721164281,0.014027894006863086,0.027519637929778244,0.04599948419346073
0.0,0.4,19,0.014661095787528678,0.016888638309164282,0.033659685959590624,0.05436415512454066
0.0,0.4,20,0.018166079941182665,0.02051795803842481,0.033791536806021184,0.04015622432651138
0.0,0.4,21,0.022049659119480886,0.02465781682481973,0.03850349546934849,0.04945758684026005
0.0,0.4,22,0.026811217310877815,0.03000945670356708,0.04239108181175641,0.05769531935054441
0.0,0.4,23,0.03161934823853644,0.03485344784574379,0.04728339186234577,0.06459730045776037
0.0,0.4,24,0.03898878539486971,0.0439378021656782,0.05254102876913921,0.07395444440404267
0.0,0.4,25,0.04802003993030962,0.05408598924210882,0.0584184065219857,0.07019033842802969
0.0,0.4,26,0.055493855352018125,0.06052901686586473,0.06241626403380502,0.07555623429454736
0.0,0.4,27,0.06072674451807545,0.06427321942741519,0.06876510062994466,0.09553719961518657
0.0,0.4,28,0.06886465348359881,0.07435600630859261,0.07698745290249948,0.10347070667938538
0.0,0.4,29,0.08134941882262842,0.08975129074330666,0.08278979848124292,0.1114691548235635
0.0,0.4,30,0.11113578228669865,0.13110233007614194,0.08771601333001214,0.11396370432948526
0.0,0.4,31,0.12286164339625215,0.1307998903475581,0.09382638470712783,0.1290830827750107
0.0,0.4,32,0.12747788149779393,0.13068113870095097,0.09706790518953065,0.1412570465447185
0.0,0.4,33,0.1292952261044022,0.13063443134602068,0.09472772198422376,0.1193512261818309
0.0,0.4,34,0.1300106991275896,0.13061606284418878,0.09449443627368537,0.11299083983141193
0.0,0.4,35,0.13029236612582196,0.13060881705095753,0.10799246855980758,0.13890670062927293
0.0,0.4,36,0.1304032597921119,0.1306059764994362,0.11110160433547342,0.13468309326821862
0.0,0.4,37,0.13044691876305364,0.1306048574878475,0.11955475873990645,0.14072512723881314
0.0,0.4,38,0.13046411176048936,0.1306044242825629,0.11825663328632359,0.11496396449484836
0.0,0.4,39,0.130470880673345,0.13060425080594193,0.11672669472626558,0.12139671427935732
0.0,0.4,40,0.13047353964719122,0.13060417257040646,0.1155225474177174,0.11278313806108277
0.0,0.4,41,0.13047459182127216,0.13060415463314204,0.10236795038995351,0.11273582681209773
0.0,0.4,42,0.13047500435001338,0.13060414115767832,0.08982165018805861,0.10066584975621005
0.0,0.4,43,0.13047516077014537,0.130604127000535,0.10007968818025245,0.12505421326364685
0.0,0.4,44,0.13047522089156993,0.13060412298478494,0.09719214524205518,0.12975129622529083
